,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,800,[0. 0. 1.],48,4,0,7,0.7381645250692869
1,no,800,[0.  0.1 0.9],48,4,0,7,0.7381645250692869
2,no,800,[0.  0.2 0.8],48,4,0,7,0.7381645250692869
3,no,800,[0.  0.3 0.7],48,4,0,7,0.6892227261274881
4,no,800,[0.  0.4 0.6],48,4,0,7,0.6733497102544722
5,no,800,[0.  0.5 0.5],48,4,0,7,0.6733497102544722
6,no,800,[0.  0.6 0.4],48,4,0,7,0.6733497102544722
7,no,800,[0.  0.7 0.3],48,4,0,7,0.6733497102544722
8,no,800,[0.  0.8 0.2],48,4,0,7,0.6707042076089696
9,no,800,[0.  0.9 0.1],48,4,0,7,0.6693814562862183
10,no,800,[0. 1. 0.],48,4,0,7,0.555801209372638
11,no,800,[0.1 0.  0.9],48,4,0,7,0.7381645250692869
12,no,800,[0.1 0.1 0.8],48,4,0,7,0.7381645250692869
13,no,800,[0.1 0.2 0.7],48,4,0,7,0.7236142605190224
14,no,800,[0.1 0.3 0.6],48,4,0,7,0.6812862181909802
15,no,800,[0.1 0.4 0.5],48,4,0,7,0.6733497102544722
16,no,800,[0.1 0.5 0.4],48,4,0,7,0.6733497102544722
17,no,800,[0.1 0.6 0.3],48,4,0,7,0.6733497102544722
18,no,800,[0.1 0.7 0.2],48,4,0,7,0.6707042076089696
19,no,800,[0.1 0.8 0.1],48,4,0,7,0.6693814562862183
20,no,800,[0.1 0.9 0. ],48,4,0,7,0.5584467120181406
21,no,800,[0.2 0.  0.8],48,4,0,7,0.7381645250692869
22,no,800,[0.2 0.1 0.7],48,4,0,7,0.7381645250692869
23,no,800,[0.2 0.2 0.6],48,4,0,7,0.6892227261274881
24,no,800,[0.2 0.3 0.5],48,4,0,7,0.6733497102544722
25,no,800,[0.2 0.4 0.4],48,4,0,7,0.6733497102544722
26,no,800,[0.2 0.5 0.3],48,4,0,7,0.6733497102544722
27,no,800,[0.2 0.6 0.2],48,4,0,7,0.6733497102544722
28,no,800,[0.2 0.7 0.1],48,4,0,7,0.6693814562862183
29,no,800,[0.2 0.8 0. ],48,4,0,7,0.5584467120181406
30,no,800,[0.3 0.  0.7],48,4,0,7,0.7381645250692869
31,no,800,[0.3 0.1 0.6],48,4,0,7,0.7381645250692869
32,no,800,[0.3 0.2 0.5],48,4,0,7,0.6892227261274881
33,no,800,[0.3 0.3 0.4],48,4,0,7,0.6733497102544722
34,no,800,[0.3 0.4 0.3],48,4,0,7,0.6733497102544722
35,no,800,[0.3 0.5 0.2],48,4,0,7,0.6733497102544722
36,no,800,[0.3 0.6 0.1],48,4,0,7,0.6707042076089696
37,no,800,[0.3 0.7 0. ],48,4,0,7,0.5584467120181406
38,no,800,[0.4 0.  0.6],48,4,0,7,0.7381645250692869
39,no,800,[0.4 0.1 0.5],48,4,0,7,0.7381645250692869
40,no,800,[0.4 0.2 0.4],48,4,0,7,0.6812862181909802
41,no,800,[0.4 0.3 0.3],48,4,0,7,0.6733497102544722
42,no,800,[0.4 0.4 0.2],48,4,0,7,0.6733497102544722
43,no,800,[0.4 0.5 0.1],48,4,0,7,0.6707042076089696
44,no,800,[0.4 0.6 0. ],48,4,0,7,0.5584467120181406
45,no,800,[0.5 0.  0.5],48,4,0,7,0.7381645250692869
46,no,800,[0.5 0.1 0.4],48,4,0,7,0.7381645250692869
47,no,800,[0.5 0.2 0.3],48,4,0,7,0.6733497102544722
48,no,800,[0.5 0.3 0.2],48,4,0,7,0.6733497102544722
49,no,800,[0.5 0.4 0.1],48,4,0,7,0.6707042076089696
50,no,800,[0.5 0.5 0. ],48,4,0,7,0.5584467120181406
51,no,800,[0.6 0.  0.4],48,4,0,7,0.7381645250692869
52,no,800,[0.6 0.1 0.3],48,4,0,7,0.6892227261274881
53,no,800,[0.6 0.2 0.2],48,4,0,7,0.6733497102544722
54,no,800,[0.6 0.3 0.1],48,4,0,7,0.6733497102544722
55,no,800,[0.6 0.4 0. ],48,4,0,7,0.5584467120181406
56,no,800,[0.7 0.  0.3],48,4,0,7,0.7381645250692869
57,no,800,[0.7 0.1 0.2],48,4,0,7,0.6812862181909802
58,no,800,[0.7 0.2 0.1],48,4,0,7,0.6733497102544722
59,no,800,[0.7 0.3 0. ],48,4,0,7,0.5584467120181406
60,no,800,[0.8 0.  0.2],48,4,0,7,0.7381645250692869
61,no,800,[0.8 0.1 0.1],48,4,0,7,0.6733497102544722
62,no,800,[ 0.8  0.2 -0. ],48,4,0,7,0.5584467120181406
63,no,800,[0.9 0.  0.1],48,4,0,7,0.7381645250692869
64,no,800,[ 0.9  0.1 -0. ],48,4,0,7,0.5584467120181406
65,no,800,[1. 0. 0.],48,4,0,7,0.638054295792391
